target,xmid,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,30.0,19.0,0.8262686110014499,4.900749719809166e-7,2.4810084180680596e-7,1.1107426755788226e-5,2.635992579106475,0.3863762253309858,0.07165141335139873,0.2336044081162003,0.384302112226358,0.07060528824683618,0.2324125444292225,3
x,30.0,20.0,0.8262686110014499,4.900749719809166e-7,2.415699164437228e-7,1.1107426755788226e-5,2.635992579106475,0.4002332971689699,0.06971533444187474,0.24419648368459543,0.3981931316243292,0.068707757750857,0.24300274183629195,3
x,30.0,21.0,0.8262686110014499,4.900749719809166e-7,2.3404555607388712e-7,1.1107426755788226e-5,2.635992579106475,0.41598537782462275,0.06748248584469498,0.2561454165600683,0.41399344042769504,0.06652583619053376,0.2549505668154418,3
x,30.0,22.0,0.8262686110014499,4.900749719809166e-7,2.255468086992591e-7,1.1107426755788226e-5,2.635992579106475,0.4335200815789917,0.0649655334362164,0.2693259935141709,0.4315834529582782,0.06406303668993123,0.26813729779001827,3
x,30.0,23.0,0.8262686110014499,4.900749719809166e-7,2.1613412832497264e-7,1.1107426755788226e-5,2.635992579106475,0.4526378082103833,0.06218177243598102,0.2835533493063206,0.45076066188664315,0.061337232595229635,0.28237558272219165,3
x,30.0,24.0,0.8262686110014499,4.900749719809166e-7,2.0590924973127962e-7,1.1107426755788226e-5,2.635992579106475,0.47306199758280354,0.059165572523420605,0.2985882138906487,0.4712555432680343,0.05837902155687147,0.2974253125533221,3
x,30.0,25.0,0.8262686110014499,4.900749719809166e-7,1.9501103244700119e-7,1.1107426755788226e-5,2.635992579106475,0.4944523151567701,0.055960297469781525,0.31415804039664413,0.49272573312406037,0.055232584416683925,0.31301298474463,3
x,30.0,26.0,0.8262686110014499,4.900749719809166e-7,1.8360751957588279e-7,1.1107426755788226e-5,2.635992579106475,0.5164411089548117,0.05261723435644033,0.32997013261484653,0.514787001631684,0.051943857657538166,0.3288520898101656,3
x,30.0,27.0,0.8262686110014499,4.900749719809166e-7,1.7188513771430524e-7,1.1107426755788226e-5,2.635992579106475,0.5386348197271673,0.04919006680581865,0.3457405195316229,0.5370643537560658,0.048571772576557336,0.3446628968654137,3
x,30.0,28.0,0.8262686110014499,4.900749719809166e-7,1.6003646853244896e-7,1.1107426755788226e-5,2.635992579106475,0.5606614856040755,0.045734840683579976,0.36122153992854006,0.559192184096729,0.04517404038345897,0.36017702457724876,3
x,30.0,29.0,0.8262686110014499,4.900749719809166e-7,1.4824821167166178e-7,1.1107426755788226e-5,2.635992579106475,0.5822106766955597,0.0423079451741465,0.37618876501035253,0.5808372720710698,0.04179607326388759,0.37518284518558176,3
x,30.0,30.0,0.8262686110014499,4.900749719809166e-7,1.3669079634161267e-7,1.1107426755788226e-5,2.635992579106475,0.6029809592621558,0.03895523546858857,0.3904598479123,0.6016961187356274,0.03849180263245561,0.3894828340310051,3
x,30.0,31.0,0.8262686110014499,4.900749719809166e-7,1.2551066050922247e-7,1.1107426755788226e-5,2.635992579106475,0.6227423203774777,0.03572014962670441,0.40390222245069335,0.6215432976351747,0.035302534873018106,0.4029557261050945,3
x,30.0,32.0,0.8262686110014499,4.900749719809166e-7,1.1482564900477072e-7,1.1107426755788226e-5,2.635992579106475,0.641333851445621,0.0326315080816563,0.4164168158578755,0.6402395003370196,0.032266045857997694,0.41552094715187005,3
x,30.0,33.0,0.8262686110014499,4.900749719809166e-7,1.0472344204129662e-7,1.1107426755788226e-5,2.635992579106475,0.6587116490929094,0.02973388612709577,0.4280151116126476,0.6576728531830076,0.029392278437703676,0.4271298090789038,3
x,30.0,34.0,0.8262686110014499,4.900749719809166e-7,9.526252686442943e-8,1.1107426755788226e-5,2.635992579106475,0.6747020955381575,0.02701468603989775,0.43860895255940846,0.6738049276416058,0.0267175066125559,0.4377888868485244,3
x,30.0,35.0,0.8262686110014499,4.900749719809166e-7,8.647501381868607e-8,1.1107426755788226e-5,2.635992579106475,0.6894884548831571,0.024517791627268703,0.44833914375792505,0.6886096446470078,0.024220255315725785,0.44746940247383277,3
x,30.0,36.0,0.8262686110014499,4.900749719809166e-7,7.837056023622413e-8,1.1107426755788226e-5,2.635992579106475,0.702972504722892,0.02222398556911015,0.45716838670343135,0.7020404023536758,0.021898442011653283,0.45622292267074105,3
x,30.0,37.0,0.8262686110014499,4.900749719809166e-7,7.094075170491113e-8,1.1107426755788226e-5,2.635992579106475,0.7151788819129211,0.02010039364555095,0.4650647349505014,0.7142767639652151,0.019784539482796345,0.4640911822758199,3
x,30.0,38.0,0.8262686110014499,4.900749719809166e-7,6.416344156801269e-8,1.1107426755788226e-5,2.635992579106475,0.7265510028475396,0.018271045749476515,0.47255807810651534,0.7250876727504632,0.01777509592321288,0.4709476957457057,3
x,30.0,39.0,0.8262686110014499,4.900749719809166e-7,5.800671613693081e-8,1.1107426755788226e-5,2.635992579106475,0.7366400122705993,0.016536052081060876,0.47897082551490067,0.734758019457086,0.016017013980135657,0.4773031392884585,3
x,30.0,40.0,0.8262686110014499,4.900749719809166e-7,5.2432302306253967e-8,1.1107426755788226e-5,2.635992579106475,0.7456073333728468,0.014961139428928969,0.484708374250315,0.7436523070298156,0.014462298706091592,0.4830055684767486,3
x,30.0,41.0,0.8262686110014499,4.900749719809166e-7,4.739835023212691e-8,1.1107426755788226e-5,2.635992579106475,0.7536177728960128,0.013528416797557605,0.48982600131510656,0.7516879515248955,0.013055384799756377,0.4881024908726241,3
x,30.0,42.0,0.8262686110014499,4.900749719809166e-7,4.286160330800117e-8,1.1107426755788226e-5,2.635992579106475,0.760794216210439,0.01224725797081348,0.4943872225278796,0.7588363191156883,0.01178247955304594,0.49264778142783355,3
x,30.0,43.0,0.8262686110014499,4.900749719809166e-7,3.877901512538045e-8,1.1107426755788226e-5,2.635992579106475,0.7671794305908493,0.011099448426742771,0.4984510330458141,0.7651153508994715,0.010632948148466588,0.49672729272175714,3
x,30.0,44.0,0.8262686110014499,4.900749719809166e-7,3.5108895853467496e-8,1.1107426755788226e-5,2.635992579106475,0.7728558604693093,0.010063990237691112,0.5020094768037144,0.7706373050618487,0.009627104799180906,0.5003937667596354,3
x,30.0,45.0,0.8262686110014499,4.900749719809166e-7,3.1811676239502586e-8,1.1107426755788226e-5,2.635992579106475,0.77753738848541,0.008968529116134423,0.5046746730843126,0.7768826903356458,0.008868630696652344,0.5041367563496254,3
x,30.0,46.0,0.8262686110014499,4.900749719809166e-7,2.8850372811139092e-8,1.1107426755788226e-5,2.635992579106475,0.7829051134617883,0.008257443331024003,0.5091347571176069,0.7803936847879306,0.007830337084393409,0.5060319895962287,3
x,30.0,47.0,0.8262686110014499,4.900749719809166e-7,2.619082780605406e-8,1.1107426755788226e-5,2.635992579106475,0.7874663967612929,0.007722268680070576,0.512228666308325,0.7841255698997563,0.0070997800711429014,0.5085241697440886,3
x,30.0,48.0,0.8262686110014499,4.900749719809166e-7,2.380178522650876e-8,1.1107426755788226e-5,2.635992579106475,0.7925567119444759,0.0070919389139561615,0.5179011824650913,0.7878762467731184,0.006046720975712981,0.508474359236488,3
x,30.0,49.0,0.8262686110014499,4.900749719809166e-7,2.165485228634718e-8,1.1107426755788226e-5,2.635992579106475,0.826268742679821,0.0,0.013300396926417702,0.8262685845636194,0.0,0.0,1
x,30.0,50.0,0.8262686110014499,4.900749719809166e-7,1.972438450772676e-8,1.1107426755788226e-5,2.635992579106475,0.8262686165316151,0.0,0.01576652004497568,0.8262685841670777,0.0,0.0,1
x,30.0,51.0,0.8262686110014499,4.900749719809166e-7,1.7987323326025104e-8,1.1107426755788226e-5,2.635992579106475,0.8262686169232929,0.0,0.02070263329049686,0.8262685824008109,0.0,0.0,1
x,30.0,52.0,0.8262686110014499,4.900749719809166e-7,1.6423007378582507e-8,1.1107426755788226e-5,2.635992579106475,0.8262686171050756,0.0,0.026512614389113422,0.8262685814905716,0.0,0.0,1
x,30.0,53.0,0.8262686110014499,4.900749719809166e-7,1.5012972577784825e-8,1.1107426755788226e-5,2.635992579106475,0.8262686112574966,0.0,0.018654238908979943,0.8262686097508467,0.0,0.0,1
x,30.0,54.0,0.8262686110014499,4.900749719809166e-7,1.3740751393429394e-8,1.1107426755788226e-5,2.635992579106475,0.8262686112434096,0.0,0.023080944946662827,0.826268609802931,0.0,0.0,1
x,30.0,55.0,0.8262686110014499,4.900749719809166e-7,1.2591678254691256e-8,1.1107426755788226e-5,2.635992579106475,0.8262686112227637,0.0,0.028086341001365953,0.8262686098841544,0.0,0.0,1
x,30.0,56.0,0.8262686110014499,4.900749719809166e-7,1.1552705397279427e-8,1.1107426755788226e-5,2.635992579106475,0.8262686110069546,0.0,0.022457324214673818,0.8262686109728048,0.0,0.0,1
x,30.0,57.0,0.8262686110014499,4.900749719809166e-7,1.0612231621658385e-8,1.1107426755788226e-5,2.635992579106475,0.8262686110059765,0.0,0.026214778123058106,0.8262686109772036,0.0,0.0,1
