target,asymptote,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
y,0.4,40.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,9.462595953484952e-6,2.635992579106475,0.32785068006088186,0.09334221156275958,0.17753124739558512,0.32586788966753477,0.09213787589894053,0.17654973804147503,3
y,0.4,41.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,9.304911563328513e-6,2.635992579106475,0.3274816911165524,0.09497121073451503,0.17604091409046746,0.3255179475353223,0.09376797047313003,0.1750764033976402,3
y,0.4,42.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,9.142166819783364e-6,2.635992579106475,0.3270866621383903,0.09671330272881226,0.17444685422667738,0.3251425907471768,0.09551152653013933,0.17350038951035024,3
y,0.4,43.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,8.975297688764792e-6,2.635992579106475,0.3266662043298476,0.09856694463980233,0.17275020856966183,0.3247419850114084,0.09736720849652351,0.17182262963382897,3
y,0.4,44.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,8.805291067679104e-6,2.635992579106475,0.3262212447162722,0.10052973772828318,0.17095303770220688,0.3243173192527112,0.09933248099835491,0.17004492763995926,3
y,0.4,45.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,8.633161180389932e-6,2.635992579106475,0.32575283915504827,0.10259830805954975,0.1690583031664675,0.323869924920423,0.1014038030407799,0.16817012615393284,3
y,0.4,46.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,8.459925843023915e-6,2.635992579106475,0.3252620329271499,0.10476817454166229,0.16706994946192366,0.32340088367487163,0.10357660816628965,0.16620219414897086,3
y,0.4,47.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,8.286583709365282e-6,2.635992579106475,0.32474999235039886,0.10703367330030197,0.16499310218915172,0.32291128862698054,0.10584526348899666,0.16414622156233438,3
y,0.4,48.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,8.114093476323974e-6,2.635992579106475,0.3242181566970471,0.10938796612942801,0.16283397203267613,0.32240237539997724,0.1082029709119298,0.16200833533309075,3
y,0.4,49.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.94335583633671e-6,2.635992579106475,0.32366815166051793,0.11182317281676117,0.16059971789271138,0.32187570354712375,0.11064188084586901,0.15979561225756977,3
y,0.4,50.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.775198729051758e-6,2.635992579106475,0.3231019129252812,0.11433054021912767,0.15829831457336493,0.32133301980629514,0.11315327669940055,0.1575159498403671,3
y,0.4,51.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.610366195557409e-6,2.635992579106475,0.32252152782687515,0.11690054586071033,0.15593845402286613,0.32077632958917685,0.11572759479654827,0.1551779134031187,3
y,0.4,52.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.4495108991396285e-6,2.635992579106475,0.32192918341572807,0.11952302963291911,0.15352939009101285,0.320207811286537,0.1183546925444694,0.15279063978276985,3
y,0.4,53.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.293190166732177e-6,2.635992579106475,0.32132727248422244,0.12218742107721377,0.15108078348296292,0.31962969082309195,0.12102400736111794,0.15036368733212735,3
y,0.4,54.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,7.14186523807475e-6,2.635992579106475,0.3207182309376323,0.12488291834968653,0.14860254754999563,0.3190442465973299,0.12372469165333277,0.14790688431244592,3
y,0.4,55.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.995903291530783e-6,2.635992579106475,0.32010448962226357,0.12759864383800898,0.14610469836452952,0.3184538669827683,0.12644581515910586,0.14543016266004488,3
y,0.4,56.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.855581746779775e-6,2.635992579106475,0.3194886271307289,0.13032385696966536,0.14359723637660676,0.317861002324806,0.12917661742785558,0.1429434328757055,3
y,0.4,57.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.721094320611279e-6,2.635992579106475,0.31887326067401445,0.1330479946135841,0.1410898900011068,0.3172681990800077,0.13190659060374296,0.14045633913843722,3
y,0.4,58.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.592558325065213e-6,2.635992579106475,0.3182604450416927,0.13576061161543634,0.13859190214466732,0.3166775972104571,0.13462533106370772,0.1379780667036374,3
y,0.4,59.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.470022737912798e-6,2.635992579106475,0.3176520570855633,0.13845198411345858,0.1361122000190173,0.31609104476033884,0.13732295586081586,0.1355174956738968,3
y,0.4,60.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.353476634532787e-6,2.635992579106475,0.3170502261330958,0.14111315694646612,0.13365919969432327,0.3155104953699582,0.13999038917066628,0.13308304127304768,3
y,0.4,61.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.242857639046836e-6,2.635992579106475,0.3164569311936616,0.14373583758118252,0.13124065229562476,0.31493787075101876,0.14261933633997476,0.1306824102097128,3
y,0.4,62.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.138060124042784e-6,2.635992579106475,0.3158738962725062,0.14631246171666995,0.12886357426146763,0.3143748579087923,0.14520222452723702,0.128322590119667,3
y,0.4,63.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,6.038942956967901e-6,2.635992579106475,0.31530258443049874,0.1488362438787102,0.12653421636696158,0.31382296304697305,0.1477322643445494,0.12600981705323888,3
y,0.4,64.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.945336653661952e-6,2.635992579106475,0.31474431462998986,0.15130130933301686,0.12425808057554805,0.31328344617932613,0.1502035102078943,0.12374958888609788,3
y,0.4,65.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.857049853389661e-6,2.635992579106475,0.314200297539279,0.15370265662614066,0.12203991226762645,0.3127574757211014,0.1526109278030489,0.1215466402797162,3
y,0.4,66.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.773875074228297e-6,2.635992579106475,0.31367154859701163,0.15603609785780492,0.11988367928648357,0.31224605241604436,0.1549503331049859,0.11940493640652086,3
y,0.4,67.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.695593742796233e-6,2.635992579106475,0.3131588571730139,0.15829823655324984,0.11779258990950485,0.3117499714952061,0.15721829995163666,0.11732769234833677,3
y,0.4,68.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.621980518726508e-6,2.635992579106475,0.3126628151848784,0.16048642409081326,0.11576913824524852,0.31126983584841805,0.1594121712735188,0.1153174168637537,3
y,0.4,69.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.552806953023348e-6,2.635992579106475,0.3121838645754275,0.16259875061428716,0.1138151583405714,0.31080611283720055,0.1615300162356554,0.11337596133768238,3
y,0.4,70.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.4878445316903124e-6,2.635992579106475,0.3117222849146633,0.1646339798849766,0.11193186736883952,0.3103591049992485,0.16357058550444536,0.11150455636963047,3
y,0.4,71.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.4268671630160395e-6,2.635992579106475,0.3112782265505449,0.16659149552709712,0.11011991601137748,0.3099289642589235,0.16553324703022373,0.1097038733369862,3
y,0.4,72.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.369653169808851e-6,2.635992579106475,0.31085172804940897,0.16847119709990238,0.10837944995667964,0.30951574735388254,0.16741790592170555,0.10797408106888566,3
y,0.4,73.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.3159868477210316e-6,2.635992579106475,0.3104427007879472,0.1702734848708694,0.10671016579430813,0.3091193338621529,0.16922493099751443,0.10631488978635995,3
y,0.4,74.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.265659648481087e-6,2.635992579106475,0.31005097379325,0.1719991850693413,0.10511135962800582,0.30873962837094526,0.17095518173204025,0.10472563137754516,3
y,0.4,75.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.218471043083051e-6,2.635992579106475,0.30967628529139923,0.17364948820026255,0.10358198755129013,0.3083763693365534,0.17260983096078553,0.10320528294686698,3
y,0.4,76.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.174229115340854e-6,2.635992579106475,0.3093183000298184,0.17522588982504722,0.10212071425211543,0.3080292464514103,0.1741903825998993,0.10175253550336956,3
y,0.4,77.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.132750931142654e-6,2.635992579106475,0.30897663395832986,0.17673015093000485,0.10072596255606202,0.30769788692756084,0.17569860442296792,0.10036583405357132,3
y,0.4,78.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.093862723559339e-6,2.635992579106475,0.30865084703899626,0.17816424022121083,0.0993959580614242,0.30738187705078485,0.17713645818856721,0.09904342743299685,3
y,0.4,79.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.057399928902203e-6,2.635992579106475,0.30834046724963354,0.17953028767727064,0.09812876826059107,0.30708076444392574,0.1785060802204116,0.0977834085421751,3
y,0.4,80.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,5.023207104039942e-6,2.635992579106475,0.3080449894531637,0.18083054482917982,0.09692234139373718,0.3067940710052287,0.17980974086119703,0.0965837480290092,3
y,0.4,81.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.991137750868467e-6,2.635992579106475,0.3077638918041112,0.1820673636278653,0.09577454207554822,0.3065212707556935,0.18104976968627604,0.09544232657632047,3
y,0.4,82.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.961054069828168e-6,2.635992579106475,0.3074966312757199,0.1832431571025085,0.09468316708317732,0.30626186875663486,0.18222860233847582,0.0943569690901291,3
y,0.4,83.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.9328266607992545e-6,2.635992579106475,0.3072426659356933,0.184360356748125,0.09364598431643523,0.30601532584845853,0.18334867538395005,0.093325462376739,3
y,0.4,84.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.906334186571503e-6,2.635992579106475,0.30700144118149114,0.18542140737011104,0.0926607515622703,0.30578111157387683,0.18441243668264456,0.09234558191481929,3
y,0.4,85.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.88146301135969e-6,2.635992579106475,0.30677240987186094,0.18642874756876557,0.09172523185812557,0.30555869411151293,0.18542234321338613,0.09141510977232933,3
y,0.4,86.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.858106824490781e-6,2.635992579106475,0.3065550310632624,0.18738478776480527,0.09083721105272122,0.30534754973856976,0.18638080931373815,0.09053184904221155,3
y,0.4,87.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.8361662573889815e-6,2.635992579106475,0.3063487686432246,0.188291897111644,0.08999451078473414,0.305147163151029,0.18729021099036003,0.08969363809388238,3
y,0.4,88.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.815548500293583e-6,2.635992579106475,0.30615309777922506,0.18915239188645483,0.08919499848603271,0.30495702696536403,0.18815287161776809,0.08889836013332596,3
y,0.4,89.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.7961669237259796e-6,2.635992579106475,0.30596750950229046,0.18996852480102205,0.08843659618719406,0.30477664812277794,0.18897105585103469,0.08814395192877686,3
y,0.4,90.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.777940708541413e-6,2.635992579106475,0.3057915086841303,0.1907424865157632,0.08771728675902428,0.30460554664322476,0.18974695780161474,0.08742841102303434,3
y,0.4,91.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.76079448742582e-6,2.635992579106475,0.3056246212361874,0.19147639002270705,0.08703512040937968,0.30444326159005924,0.19048269568333784,0.08674980059932642,3
y,0.4,92.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.744657999898965e-6,2.635992579106475,0.3054663828431991,0.19217227208674,0.08638821692091787,0.3042893469045187,0.19118031424987703,0.08610625258266964,3
y,0.4,93.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.729465762235674e-6,2.635992579106475,0.3053163513177264,0.19283209034781873,0.08577476784710207,0.304143373089124,0.1918417767752404,0.0854959704891925,3
y,0.4,94.0,0.8262686110014499,4.900749719809166e-7,2.7338159268322533e-7,4.715156753194018e-6,2.635992579106475,0.3051740994818486,0.19345772108834172,0.08519303928611127,0.30400492894888953,0.19246896647223097,0.0849172314906345,3
