target,xmid,dose,r,x_2,y_21,B0_21,meanB1,meanB2,meanB3,maxB1,maxB2,maxB3,minB1,minB2,minB3,stabilityB1,stabilityB2,stabilityB3,sp_survival
B0,8.0,50.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,1.3179962895532376,0.39714237739714814,0.0393017703671336,0.23373486423828624,0.3971423773971503,0.039301770367133976,0.23373486423828643,0.39714237739714847,0.039301770367133206,0.2337348642382851,-3.505472432241064e-15,-6.863964764002204e-15,-2.87841360577545e-15,3
B0,8.0,51.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,1.213814929802624,0.4084331157847644,0.036195151699153695,0.2367417236557194,0.40843311578476704,0.03619515169915401,0.23674172365572074,0.40843311578476543,0.03619515169915335,0.23674172365571952,-4.813371141131019e-15,-6.525572817611952e-15,-3.5601329522752815e-15,3
B0,8.0,52.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,1.1129051013545261,0.42114354267229254,0.0331860879127918,0.23923351932990952,0.42114354267229714,0.0331860879127934,0.23923351932991238,0.4211435426722878,0.03318608791279018,0.23923351932990636,-7.886705852054422e-15,-3.417266230187428e-14,-8.945165642028812e-15,3
B0,8.0,53.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,1.016247869329531,0.43530548875742187,0.030303239925299822,0.2410129622508386,0.4354024278478404,0.030335565762769058,0.24107667285813553,0.4352062109114247,0.030272119373486096,0.2409503789273161,-0.0001575082988192076,-0.0007298271838029657,-0.00018330786814693448,3
B0,8.0,54.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.9246078945039642,0.2516197731393071,0.03556843875664547,0.1239699442009781,0.6228961786692042,0.38469389468390647,0.3591108670088402,0.017481250408046992,5.375002348764479e-7,0.022413885564464574,-0.8302135709496962,-2.5281221101587463,-0.835166041960376,3
B0,8.0,55.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.8385296991518665,0.12601938912490787,0.02696376250401195,0.05877553036760984,0.6067127758441243,0.4945344539435435,0.2717009300336148,0.00021697853591319291,4.909774927867672e-9,0.001557880374876361,-1.4575267886389986,-3.4716497247372256,-1.282686785373742,3
B0,8.0,56.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.7583488217260979,0.09444352550765633,0.0358069320331456,0.032953010444283864,0.5874898600566889,0.4968462164591849,0.20308918870282847,2.323163940115433e-6,1.798525229787636e-9,0.00010038498424956817,-1.761317325860015,-3.032627956798486,-1.643337585446241,3
B0,8.0,57.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.6842137437872328,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,58.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.6161142959854052,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,59.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.5539127061433521,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,60.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.4973742676400801,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,61.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.44619553477975865,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,62.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.40002881822960357,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,63.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.35850246030802685,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,64.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.3212368836805146,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,65.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.2878567376474939,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,66.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.2579996459655846,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,67.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.23132212847610029,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,68.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.20750326291673674,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,69.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.1862466035921974,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,70.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.1672808025331581,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,71.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.1503593015105604,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,72.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.13525938903696716,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,73.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.12178085022031629,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,74.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.10974438108144352,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,75.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.0989898929516294,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,76.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.08937479607195993,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,77.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.08077232329059308,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,78.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.07306993342250213,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,79.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.06616781807108968,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,80.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.059977524326644584,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,81.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.05442069774647653,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,82.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.04942794456122061,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,83.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.044937808483814685,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,84.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.04089585530892642,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
B0,8.0,85.0,4.900749719809166e-7,2.7338159268322533e-7,1.1107426755788226e-5,0.03725385728787697,0.8262686110014456,0.0,0.0,0.8262686110014487,0.0,0.0,0.8262686110014487,0.0,0.0,-3.765067983289173e-15,NaN,NaN,1
