target,slope,dose,K,r,x_2,y_21,B0_21,maxB1,maxB2,maxB3,minB1,minB2,minB3,sp_survival
x,2.0,41.0,0.8262686110014499,4.900749719809166e-7,1.6346663040135454e-7,1.1107426755788226e-5,2.635992579106475,0.554324699048548,0.04673351653543998,0.356783308021534,0.5528271982770755,0.04615699041334261,0.3557315910025824,3
x,2.0,42.0,0.8262686110014499,4.900749719809166e-7,1.6028470490339197e-7,1.1107426755788226e-5,2.635992579106475,0.5602039601983483,0.045807058594434805,0.3609016401372594,0.5587326400119674,0.04524514875878451,0.3598564884534433,3
x,2.0,43.0,0.8262686110014499,4.900749719809166e-7,1.571519847569702e-7,1.1107426755788226e-5,2.635992579106475,0.565968904916643,0.04489593552753935,0.3649240480493605,0.5645209601547769,0.04434789041479046,0.3638880218199189,3
x,2.0,44.0,0.8262686110014499,4.900749719809166e-7,1.5406987865375637e-7,1.1107426755788226e-5,2.635992579106475,0.571615334189906,0.04399963393358773,0.368850831728853,0.5701917312026711,0.043464857227530095,0.3678255045785597,3
x,2.0,45.0,0.8262686110014499,4.900749719809166e-7,1.5103955396863279e-7,1.1107426755788226e-5,2.635992579106475,0.5771416808812373,0.04311891104864562,0.37268315557030396,0.5757435493821864,0.04259596451303509,0.3716692149029397,3
x,2.0,46.0,0.8262686110014499,4.900749719809166e-7,1.4806195444282134e-7,1.1107426755788226e-5,2.635992579106475,0.5825481221580829,0.04225383810843254,0.37642181204986985,0.5811764648589791,0.041742752595676724,0.3754162741188034,3
x,2.0,47.0,0.8262686110014499,4.900749719809166e-7,1.4513781730899625e-7,1.1107426755788226e-5,2.635992579106475,0.5878334807730331,0.041404721440065,0.38006686633013553,0.5864899285445507,0.040906143609384264,0.37906893216621274,3
x,2.0,48.0,0.8262686110014499,4.900749719809166e-7,1.42267689781029e-7,1.1107426755788226e-5,2.635992579106475,0.5929851320029038,0.04054593002281277,0.3836080417609213,0.5917206383264609,0.04009371337306641,0.3826554259534283,3
x,2.0,49.0,0.8262686110014499,4.900749719809166e-7,1.3945194484963546e-7,1.1107426755788226e-5,2.635992579106475,0.5980221411728397,0.0397217136986921,0.3870634270756333,0.5967716170054824,0.03928252567375596,0.38611177388275614,3
x,2.0,50.0,0.8262686110014499,4.900749719809166e-7,1.3669079634161267e-7,1.1107426755788226e-5,2.635992579106475,0.6029809592621558,0.03895523546858857,0.3904598479123,0.6016961187356274,0.03849180263245561,0.3894828340310051,3
x,2.0,51.0,0.8262686110014499,4.900749719809166e-7,1.339843132146762e-7,1.1107426755788226e-5,2.635992579106475,0.6077953369046675,0.03817115244445013,0.39374678503973803,0.6065301578424279,0.03771911311528496,0.3927755217342486,3
x,2.0,52.0,0.8262686110014499,4.900749719809166e-7,1.3133243307226428e-7,1.1107426755788226e-5,2.635992579106475,0.6124933562947737,0.037403465851758855,0.39694684466514896,0.6112458583561565,0.036963048250614736,0.3959821120232529,3
x,2.0,53.0,0.8262686110014499,4.900749719809166e-7,1.2873497489321216e-7,1.1107426755788226e-5,2.635992579106475,0.6170768521447385,0.03665205183680125,0.40006177179067526,0.615850660861884,0.03622234016000375,0.3991051173238534,3
x,2.0,54.0,0.8262686110014499,4.900749719809166e-7,1.2619165098007074e-7,1.1107426755788226e-5,2.635992579106475,0.621548071793128,0.03591694386603934,0.40309359995474137,0.6203425602655588,0.03549666346358171,0.40214451090589104,3
x,2.0,55.0,0.8262686110014499,4.900749719809166e-7,1.2370207813720605e-7,1.1107426755788226e-5,2.635992579106475,0.625909048096491,0.03519779399379857,0.4060441271755073,0.6247270541573663,0.034787252663841244,0.40510421227628046,3
x,2.0,56.0,0.8262686110014499,4.900749719809166e-7,1.2126578809582385e-7,1.1107426755788226e-5,2.635992579106475,0.6301626361669157,0.03449479744659337,0.4089151985125938,0.6290061529835178,0.034095183966599066,0.4079863674276983,3
x,2.0,57.0,0.8262686110014499,4.900749719809166e-7,1.1888223720787326e-7,1.1107426755788226e-5,2.635992579106475,0.634309629766422,0.033807684984589706,0.41170991395217044,0.6331721242725674,0.0334155358594622,0.41078617773046416,3
x,2.0,58.0,0.8262686110014499,4.900749719809166e-7,1.1655081543452649e-7,1.1107426755788226e-5,2.635992579106475,0.6383525658960022,0.033135501079547935,0.4144280384042259,0.6372367127586918,0.03275253082779346,0.4135111203023924,3
x,2.0,59.0,0.8262686110014499,4.900749719809166e-7,1.1427085465776013e-7,1.1107426755788226e-5,2.635992579106475,0.6422941257611244,0.03247369577356609,0.4170631115618308,0.641202502806311,0.03210687256079626,0.4161650490526466,3
x,2.0,60.0,0.8262686110014499,4.900749719809166e-7,1.1204163634558416e-7,1.1107426755788226e-5,2.635992579106475,0.6461395256144854,0.031837855424829524,0.419646615817852,0.6450620202858365,0.031471113348398076,0.41874086365268026,3
x,2.0,61.0,0.8262686110014499,4.900749719809166e-7,1.0986239860280715e-7,1.1107426755788226e-5,2.635992579106475,0.649890503396674,0.03121232346746093,0.42215146472579235,0.648828024660919,0.03085198502694452,0.42125117565173914,3
x,2.0,62.0,0.8262686110014499,4.900749719809166e-7,1.0773234263998475e-7,1.1107426755788226e-5,2.635992579106475,0.6535557328102474,0.030599839927158125,0.42458574575217234,0.6525013817364153,0.030246806170879555,0.4236952637261671,3
x,2.0,63.0,0.8262686110014499,4.900749719809166e-7,1.0565063869347091e-7,1.1107426755788226e-5,2.635992579106475,0.6571257448148954,0.03000072004978415,0.4269584803505729,0.6560832761902045,0.02965552062152581,0.42607427361016564,3
x,2.0,64.0,0.8262686110014499,4.900749719809166e-7,1.0361643142936073e-7,1.1107426755788226e-5,2.635992579106475,0.6606012766737023,0.02941540606605051,0.42927297475734616,0.6595683721379237,0.029077812727035406,0.42838680062451906,3
x,2.0,65.0,0.8262686110014499,4.900749719809166e-7,1.0162884486365252e-7,1.1107426755788226e-5,2.635992579106475,0.6639821030420024,0.028843911787584227,0.43151921631499734,0.6629650479788259,0.028513631862887894,0.4306333742257288,3
x,2.0,66.0,0.8262686110014499,4.900749719809166e-7,9.968698683023094e-8,1.1107426755788226e-5,2.635992579106475,0.6672739443782498,0.028286511409598893,0.4336998767676771,0.6662774602649775,0.027963122572933343,0.43281974279550933,3
x,2.0,67.0,0.8262686110014499,4.900749719809166e-7,9.77899530273377e-8,1.1107426755788226e-5,2.635992579106475,0.6704875510689032,0.027743677068724066,0.43582497011415744,0.6695089727435074,0.02742547828306975,0.4349495068132991,3
x,2.0,68.0,0.8262686110014499,4.900749719809166e-7,9.59368306721032e-8,1.1107426755788226e-5,2.635992579106475,0.6736172532627026,0.027213005709757005,0.4378925761032513,0.6726560165148697,0.02690047920148388,0.43702357697782923,3
x,2.0,69.0,0.8262686110014499,4.900749719809166e-7,9.41267017914975e-8,1.1107426755788226e-5,2.635992579106475,0.6766565986692851,0.02669223840928407,0.43988242969208635,0.6757490457268028,0.026390934792329342,0.4390504512436556,3
x,2.0,70.0,0.8262686110014499,4.900749719809166e-7,9.235864617676531e-8,1.1107426755788226e-5,2.635992579106475,0.6796325791981441,0.026184984222760898,0.4418483216603128,0.6787448771252753,0.02588913805514872,0.4410143219681332,3
x,2.0,71.0,0.8262686110014499,4.900749719809166e-7,9.063174402706052e-8,1.1107426755788226e-5,2.635992579106475,0.6825316445135963,0.025690415406174692,0.4437587166037863,0.6816614120803203,0.025399368566142343,0.4429236111304723,3
x,2.0,72.0,0.8262686110014499,4.900749719809166e-7,8.894507830661939e-8,1.1107426755788226e-5,2.635992579106475,0.6853783026114956,0.025207688446626422,0.4456171368487606,0.6845006378563805,0.024921484938078862,0.4447817067443869,3
x,2.0,73.0,0.8262686110014499,4.900749719809166e-7,8.729773683842936e-8,1.1107426755788226e-5,2.635992579106475,0.688107860117478,0.024736261942313167,0.44742553420311965,0.6872562165640831,0.024455610613913367,0.44659167674859634,3
x,2.0,74.0,0.8262686110014499,4.900749719809166e-7,8.568881415597584e-8,1.1107426755788226e-5,2.635992579106475,0.6907925986312343,0.024288561721880646,0.449195395783775,0.6899221675744592,0.023998091433486718,0.44832949290372925,3
x,2.0,75.0,0.8262686110014499,4.900749719809166e-7,8.41174131333001e-8,1.1107426755788226e-5,2.635992579106475,0.6934290139085622,0.023848196628521827,0.4509073598348649,0.6925428413047822,0.02355120689991849,0.4500410630653888,3
x,2.0,76.0,0.8262686110014499,4.900749719809166e-7,8.258264641228411e-8,1.1107426755788226e-5,2.635992579106475,0.6959599232486092,0.02340825025809896,0.4525645810348673,0.6951060041639673,0.023118936489473024,0.4517124191531203,3
x,2.0,77.0,0.8262686110014499,4.900749719809166e-7,8.108363764480523e-8,1.1107426755788226e-5,2.635992579106475,0.6984344414418305,0.022978224353592123,0.4541975324241765,0.6975917941138386,0.022693077734643737,0.45333414386324433,3
x,2.0,78.0,0.8262686110014499,4.900749719809166e-7,7.9619522566177e-8,1.1107426755788226e-5,2.635992579106475,0.7008808090944811,0.022572211296275804,0.4557971639849888,0.700007869405014,0.022270110379151584,0.45490817167196096,3
x,2.0,79.0,0.8262686110014499,4.900749719809166e-7,7.818944991511992e-8,1.1107426755788226e-5,2.635992579106475,0.7032843639450054,0.02217790430465746,0.4573835433596036,0.7023236967014971,0.021838455613768765,0.456389058291607,3
x,2.0,80.0,0.8262686110014499,4.900749719809166e-7,7.679258221438913e-8,1.1107426755788226e-5,2.635992579106475,0.7056048463999675,0.021783890940883868,0.45889845266363644,0.7046173261430576,0.021433219952113506,0.45786719193675035,3
x,2.0,81.0,0.8262686110014499,4.900749719809166e-7,7.542809642512562e-8,1.1107426755788226e-5,2.635992579106475,0.7078784227887731,0.021398606223331375,0.46038568712006245,0.7068056475595546,0.021036789979552304,0.45929846554720993,3
x,2.0,82.0,0.8262686110014499,4.900749719809166e-7,7.409518448699734e-8,1.1107426755788226e-5,2.635992579106475,0.710092513596506,0.021023089410633296,0.46183045622006247,0.7090257566437681,0.020649743155748402,0.46069192027404526,3
x,2.0,83.0,0.8262686110014499,4.900749719809166e-7,7.279305375525224e-8,1.1107426755788226e-5,2.635992579106475,0.7121362434312237,0.02062628533185098,0.4631031780068886,0.7112328079904305,0.02030927700533468,0.462134519621606,3
x,2.0,84.0,0.8262686110014499,4.900749719809166e-7,7.152092734492082e-8,1.1107426755788226e-5,2.635992579106475,0.7142258437503224,0.020264639808437443,0.4644508414849845,0.7133246149619361,0.019949169320211003,0.46348003368278085,3
x,2.0,85.0,0.8262686110014499,4.900749719809166e-7,7.027804439157465e-8,1.1107426755788226e-5,2.635992579106475,0.716267686908675,0.01991328173307233,0.46576510477527866,0.7153630820160728,0.019596215693727482,0.4647873410135823,3
x,2.0,86.0,0.8262686110014499,4.900749719809166e-7,6.906366023727399e-8,1.1107426755788226e-5,2.635992579106475,0.7182673673419124,0.019573296930438466,0.4670456529538838,0.7173490226311753,0.01924932102433117,0.46605434830007236,3
